"","Strain Name","Virus Species","GenBank Accession","Sequence Length","Pango Genome Lineage","Collection Date","Year","Host","GenBank Host","Country","Mol Type","seq_length","seq_coverage","cov_categories","Continent","Continent_Region"
"142","MY/08/9487","Chikungunya virus","FR687342","11172","-N/A-","11/10/2008",2008-11-10,"Human","Homo sapiens","Malaysia","genomic RNA",11172,0.931,">90%","Asia","Southeastern Asia"
"143","Thailand-2009_CK257","Chikungunya virus","KJ796851","11776","-N/A-","12/01/2008",2008-12-01,"Unknown","-N/A-","Thailand","genomic RNA",11776,0.981333333333333,">90%","Asia","Southeastern Asia"
"144","MY/08/1230","Chikungunya virus","KT324224","11764","-N/A-","12/2008",2008-12-01,"Human","Homo sapiens","Malaysia","genomic RNA",11764,0.980333333333333,">90%","Asia","Southeastern Asia"
"145","MY/08/4567","Chikungunya virus","FR687343","11172","-N/A-","12/12/2008",2008-12-12,"Human","Homo sapiens","Malaysia","genomic RNA",11172,0.931,">90%","Asia","Southeastern Asia"
"146","Thailand-2008_CK233","Chikungunya virus","KJ796849","11779","-N/A-","12/23/2008",2008-12-23,"Unknown","-N/A-","Thailand","genomic RNA",11779,0.981583333333333,">90%","Asia","Southeastern Asia"
"147","MY/09/5668","Chikungunya virus","KT324226","11760","-N/A-","39814",2009-01-01,"Human","Homo sapiens","Malaysia","genomic RNA",11760,0.98,">90%","Asia","Southeastern Asia"
"148","MY/09/4493","Chikungunya virus","KT324225","11751","-N/A-","39814",2009-01-01,"Human","Homo sapiens","Malaysia","genomic RNA",11751,0.97925,">90%","Asia","Southeastern Asia"
"149","SVUCTR-09","Chikungunya virus","JN558834","11733","-N/A-","39814",2009-01-01,"Human","Homo sapiens","India","genomic RNA",11733,0.97775,">90%","Asia","India+"
"150","SVUKDP-09","Chikungunya virus","JN558836","11733","-N/A-","39814",2009-01-01,"Human","Homo sapiens","India","genomic RNA",11733,0.97775,">90%","Asia","India+"
"151","025","Chikungunya virus","KP164869","11811","-N/A-","39814",2009-01-01,"Unknown","-N/A-","Thailand","genomic RNA",11811,0.98425,">90%","Asia","Southeastern Asia"
"152","MUM001-2009-Selangor","Chikungunya virus","KX168429","11900","-N/A-","39814",2009-01-01,"Human","Homo sapiens","Malaysia","genomic RNA",11900,0.991666666666667,">90%","Asia","Southeastern Asia"
"153","CHIKV/Homo sapiens/MYS/BS-285-C2/2009","Chikungunya virus","KX262997","11669","-N/A-","39814",2009-01-01,"Human","Homo sapiens","Malaysia","genomic RNA",11669,0.972416666666667,">90%","Asia","Southeastern Asia"
"154","CHIKV/Hu/Malaysia/NIID02/2009","Chikungunya virus","LC259093","11832","-N/A-","01/06/2009",2009-01-06,"Human","Homo sapiens","Malaysia","genomic RNA",11832,0.986,">90%","Asia","Southeastern Asia"
"155","MY/09/4506","Chikungunya virus","FR687344","11172","-N/A-","01/12/2009",2009-01-12,"Human","Homo sapiens","Malaysia","genomic RNA",11172,0.931,">90%","Asia","Southeastern Asia"
"156","MY/09/5559","Chikungunya virus","KT324228","11764","-N/A-","02/2009",2009-02-01,"Human","Homo sapiens","Malaysia","genomic RNA",11764,0.980333333333333,">90%","Asia","Southeastern Asia"
"157","MY/09/0873","Chikungunya virus","FR687345","11172","-N/A-","02/05/2009",2009-02-05,"Human","Homo sapiens","Malaysia","genomic RNA",11172,0.931,">90%","Asia","Southeastern Asia"
"158","Thailand-2009_CK539","Chikungunya virus","KJ796852","11777","-N/A-","02/12/2009",2009-02-12,"Unknown","-N/A-","Thailand","genomic RNA",11777,0.981416666666667,">90%","Asia","Southeastern Asia"
"159","MY/09/3467","Chikungunya virus","FR687347","11172","-N/A-","02/12/2009",2009-02-12,"Human","Homo sapiens","Malaysia","genomic RNA",11172,0.931,">90%","Asia","Southeastern Asia"
"160","MY/09/5557","Chikungunya virus","FR687346","11172","-N/A-","02/16/2009",2009-02-16,"Human","Homo sapiens","Malaysia","genomic RNA",11172,0.931,">90%","Asia","Southeastern Asia"
"161","MY/09/3926","Chikungunya virus","KT324227","11818","-N/A-","03/2009",2009-03-01,"Human","Homo sapiens","Malaysia","genomic RNA",11818,0.984833333333333,">90%","Asia","Southeastern Asia"
"162","Thailand-2009_CK650","Chikungunya virus","KJ796847","11784","-N/A-","03/05/2009",2009-03-05,"Unknown","-N/A-","Thailand","genomic RNA",11784,0.982,">90%","Asia","Southeastern Asia"
"163","MY/09/3611","Chikungunya virus","FR687348","11172","-N/A-","04/03/2009",2009-04-03,"Human","Homo sapiens","Malaysia","genomic RNA",11172,0.931,">90%","Asia","Southeastern Asia"
"164","RGCB711/09","Chikungunya virus","KT336777","11237","-N/A-","04/08/2009",2009-04-08,"Unknown","-N/A-","India","genomic RNA",11237,0.936416666666667,">90%","Asia","India+"
"165","CU-Chik661","Chikungunya virus","GQ905863","11752","-N/A-","05/25/2009",2009-05-25,"Human","Homo sapiens","Thailand","genomic RNA",11752,0.979333333333333,">90%","Asia","Southeastern Asia"
"166","Myanmar/D47/2009","Chikungunya virus","KF151174","11792","-N/A-","07/13/2009",2009-07-13,"Human","Homo sapiens","Myanmar","genomic RNA",11792,0.982666666666667,">90%","Asia","Southeastern Asia"
"167","CU-Chik683","Chikungunya virus","GU301781","11811","-N/A-","07/27/2009",2009-07-27,"Human","Homo sapiens","Thailand","genomic RNA",11811,0.98425,">90%","Asia","Southeastern Asia"
"168","RGCB729/09","Chikungunya virus","KJ796845","11764","-N/A-","08/04/2009",2009-08-04,"Unknown","-N/A-","India","genomic RNA",11764,0.980333333333333,">90%","Asia","India+"
"169","RGCB730/09","Chikungunya virus","KJ796844","11764","-N/A-","08/04/2009",2009-08-04,"Unknown","-N/A-","India","genomic RNA",11764,0.980333333333333,">90%","Asia","India+"
"170","CU-Chik_OBF","Chikungunya virus","GU908223","11670","-N/A-","08/14/2009",2009-08-14,"Mosquito","Aedes albopictus","Thailand","genomic RNA",11670,0.9725,">90%","Asia","Southeastern Asia"
"171","RGCB755/09","Chikungunya virus","KJ796846","11764","-N/A-","08/18/2009",2009-08-18,"Unknown","-N/A-","India","genomic RNA",11764,0.980333333333333,">90%","Asia","India+"
"172","CU-Chik009","Chikungunya virus","GU301779","11811","-N/A-","09/04/2009",2009-09-04,"Human","Homo sapiens","Thailand","genomic RNA",11811,0.98425,">90%","Asia","Southeastern Asia"
"173","CHIKV/Hu/Indonesia/NIID58/2009","Chikungunya virus","LC259083","11998","-N/A-","09/11/2009",2009-09-11,"Human","Homo sapiens","Indonesia","genomic RNA",11998,0.999833333333333,">90%","Asia","Indonesia+"
"174","Thailand-2009_CK11/53","Chikungunya virus","KJ796850","11778","-N/A-","09/16/2009",2009-09-16,"Unknown","-N/A-","Thailand","genomic RNA",11778,0.9815,">90%","Asia","Southeastern Asia"
"175","SGEHI89768Y09","Chikungunya virus","MH647212","11237","-N/A-","11/2009",2009-11-01,"Human","Homo sapiens","Singapore","genomic RNA",11237,0.936416666666667,">90%","Asia","Southeastern Asia"
"176","Malaysia-2009","Chikungunya virus","MH670649","11970","-N/A-","11/19/2009",2009-11-19,"Human","Homo sapiens","China","genomic RNA",11970,0.9975,">90%","Asia","China+"
"177","SGEHI27277Y09","Chikungunya virus","MH647210","11237","-N/A-","12/2009",2009-12-01,"Human","Homo sapiens","Singapore","genomic RNA",11237,0.936416666666667,">90%","Asia","Southeastern Asia"
"178","SGEHI10649Y09","Chikungunya virus","MH647211","11237","-N/A-","12/2009",2009-12-01,"Human","Homo sapiens","Singapore","genomic RNA",11237,0.936416666666667,">90%","Asia","Southeastern Asia"
"179","Myanmar/D136/2009","Chikungunya virus","KF151175","11792","-N/A-","12/11/2009",2009-12-11,"Human","Homo sapiens","Myanmar","genomic RNA",11792,0.982666666666667,">90%","Asia","Southeastern Asia"
"180","SGEHI66446Y10","Chikungunya virus","MH647213","11237","-N/A-","40179",2010-01-01,"Human","Homo sapiens","Singapore","genomic RNA",11237,0.936416666666667,">90%","Asia","Southeastern Asia"
"181","SGEHI03277Y10","Chikungunya virus","MH647214","11237","-N/A-","40179",2010-01-01,"Human","Homo sapiens","Singapore","genomic RNA",11237,0.936416666666667,">90%","Asia","Southeastern Asia"
"182","SGEHI62649Y10","Chikungunya virus","MH647216","11237","-N/A-","40179",2010-01-01,"Human","Homo sapiens","Singapore","genomic RNA",11237,0.936416666666667,">90%","Asia","Southeastern Asia"
"183","SGEHI37262Y10","Chikungunya virus","MH636708","11713","-N/A-","40179",2010-01-01,"Human","Homo sapiens","Singapore","genomic RNA",11713,0.976083333333333,">90%","Asia","Southeastern Asia"
"184","GD05/2010","Chikungunya virus","JX088705","11811","-N/A-","40179",2010-01-01,"Human","Homo sapiens","China","genomic RNA",11811,0.98425,">90%","Asia","China+"
"185","NL10/152","Chikungunya virus","KC862329","11836","-N/A-","40179",2010-01-01,"Human","Homo sapiens","Indonesia","genomic RNA",11836,0.986333333333333,">90%","Asia","Indonesia+"
"186","10Mdy30","Chikungunya virus","KF590566","11730","-N/A-","40179",2010-01-01,"Human","Homo sapiens","Myanmar","genomic RNA",11730,0.9775,">90%","Asia","Southeastern Asia"
"187","10Mdy7","Chikungunya virus","KF590564","11695","-N/A-","40179",2010-01-01,"Human","Homo sapiens","Myanmar","genomic RNA",11695,0.974583333333333,">90%","Asia","Southeastern Asia"
"188","10Mdy105","Chikungunya virus","KF590567","12530","-N/A-","40179",2010-01-01,"Human","Homo sapiens","Myanmar","genomic RNA",12530,1.04416666666667,">90%","Asia","Southeastern Asia"
"189","10Mdy20","Chikungunya virus","KF590565","11722","-N/A-","40179",2010-01-01,"Human","Homo sapiens","Myanmar","genomic RNA",11722,0.976833333333333,">90%","Asia","Southeastern Asia"
"190","IND-10-DEL3","Chikungunya virus","KU365282","7418","-N/A-","40179",2010-01-01,"Unknown","-N/A-","India","genomic RNA",7418,0.618166666666667,"50-90%","Asia","India+"
"191","IND-10-DEL8","Chikungunya virus","KU365286","7418","-N/A-","40179",2010-01-01,"Unknown","-N/A-","India","genomic RNA",7418,0.618166666666667,"50-90%","Asia","India+"
"192","IND-10-DEL4","Chikungunya virus","KU365283","7418","-N/A-","40179",2010-01-01,"Unknown","-N/A-","India","genomic RNA",7418,0.618166666666667,"50-90%","Asia","India+"
"193","IND-10-DEL6","Chikungunya virus","KU365285","7418","-N/A-","40179",2010-01-01,"Unknown","-N/A-","India","genomic RNA",7418,0.618166666666667,"50-90%","Asia","India+"
"194","IND-10-DEL12","Chikungunya virus","KU365289","7418","-N/A-","40179",2010-01-01,"Unknown","-N/A-","India","genomic RNA",7418,0.618166666666667,"50-90%","Asia","India+"
"195","IND-10-DEL10","Chikungunya virus","KU365287","7418","-N/A-","40179",2010-01-01,"Unknown","-N/A-","India","genomic RNA",7418,0.618166666666667,"50-90%","Asia","India+"
"196","IND-10-DEL5","Chikungunya virus","KU365284","7418","-N/A-","40179",2010-01-01,"Unknown","-N/A-","India","genomic RNA",7418,0.618166666666667,"50-90%","Asia","India+"
"197","IND-10-DEL11","Chikungunya virus","KU365288","7418","-N/A-","40179",2010-01-01,"Unknown","-N/A-","India","genomic RNA",7418,0.618166666666667,"50-90%","Asia","India+"
"198","ET2010","Chikungunya virus","MF773565","12015","-N/A-","40179",2010-01-01,"Human","Homo sapiens","East Timor","genomic RNA",12015,1.00125,">90%","Asia","Indonesia+"
"199","SZ1050","Chikungunya virus","MG664850","11844","-N/A-","40179",2010-01-01,"Human","Homo sapiens","China","genomic RNA",11844,0.987,">90%","Asia","China+"
"200","IND/2010/DEL/03","Chikungunya virus","MH124571","11764","-N/A-","40179",2010-01-01,"Human","Homo sapiens","India","genomic RNA",11764,0.980333333333333,">90%","Asia","India+"
"201","IND/2010/DEL/05","Chikungunya virus","MH124572","11764","-N/A-","40179",2010-01-01,"Human","Homo sapiens","India","genomic RNA",11764,0.980333333333333,">90%","Asia","India+"
"202","IND/2010/DEL/06","Chikungunya virus","MH124573","11750","-N/A-","40179",2010-01-01,"Human","Homo sapiens","India","genomic RNA",11750,0.979166666666667,">90%","Asia","India+"
"203","IND/2010/DEL/10","Chikungunya virus","MH124574","11755","-N/A-","40179",2010-01-01,"Human","Homo sapiens","India","genomic RNA",11755,0.979583333333333,">90%","Asia","India+"
"204","IND/2010/DEL/13","Chikungunya virus","MH124575","11763","-N/A-","40179",2010-01-01,"Human","Homo sapiens","India","genomic RNA",11763,0.98025,">90%","Asia","India+"
"205","IND/2010/DEL/14","Chikungunya virus","MH124576","11746","-N/A-","40179",2010-01-01,"Human","Homo sapiens","India","genomic RNA",11746,0.978833333333333,">90%","Asia","India+"
"206","IND/2010/DEL/20","Chikungunya virus","MH124577","11764","-N/A-","40179",2010-01-01,"Human","Homo sapiens","India","genomic RNA",11764,0.980333333333333,">90%","Asia","India+"
"207","IND/2010/DEL/11","Chikungunya virus","MH124578","11758","-N/A-","40179",2010-01-01,"Human","Homo sapiens","India","genomic RNA",11758,0.979833333333333,">90%","Asia","India+"
"208","IND/2010/DEL/12","Chikungunya virus","MH124579","11752","-N/A-","40179",2010-01-01,"Human","Homo sapiens","India","genomic RNA",11752,0.979333333333333,">90%","Asia","India+"
"209","IND/2010/DEL/01","Chikungunya virus","MH124570","11764","-N/A-","40179",2010-01-01,"Human","Homo sapiens","India","genomic RNA",11764,0.980333333333333,">90%","Asia","India+"
"210","CP10","Chikungunya virus","LC580270","11237","-N/A-","40179",2010-01-01,"Human","Homo sapiens","Thailand","genomic RNA",11237,0.936416666666667,">90%","Asia","Southeastern Asia"
"211","THSTI-CHIKV-1","Chikungunya virus","MW759070","11605","-N/A-","40179",2010-01-01,"Human","Homo sapiens; male","India","genomic RNA",11605,0.967083333333333,">90%","Asia","India+"
"212","THSTI-CHIKV-1","Chikungunya virus","ON642351","11050","-N/A-","40179",2010-01-01,"Human","Homo sapiens","India","genomic RNA",11050,0.920833333333333,">90%","Asia","India+"
"213","THSTI-CHIKV-2","Chikungunya virus","ON642352","11791","-N/A-","40179",2010-01-01,"Human","Homo sapiens","India","genomic RNA",11791,0.982583333333333,">90%","Asia","India+"
"214","THSTI-CHIKV-3","Chikungunya virus","ON642353","11791","-N/A-","40179",2010-01-01,"Human","Homo sapiens","India","genomic RNA",11791,0.982583333333333,">90%","Asia","India+"
"215","THSTI-CHIKV-4","Chikungunya virus","ON642354","11605","-N/A-","40179",2010-01-01,"Human","Homo sapiens","India","genomic RNA",11605,0.967083333333333,">90%","Asia","India+"
"216","THSTI-CHIKV-5","Chikungunya virus","ON642355","11767","-N/A-","40179",2010-01-01,"Human","Homo sapiens","India","genomic RNA",11767,0.980583333333333,">90%","Asia","India+"
"217","SGEHI50012Y10","Chikungunya virus","MH647215","11237","-N/A-","02/2010",2010-02-01,"Human","Homo sapiens","Singapore","genomic RNA",11237,0.936416666666667,">90%","Asia","Southeastern Asia"
"218","RGCB855/10","Chikungunya virus","KT336778","11237","-N/A-","07/16/2010",2010-07-16,"Unknown","-N/A-","India","genomic RNA",11237,0.936416666666667,">90%","Asia","India+"
"219","GD113","Chikungunya virus","HQ846357","11720","-N/A-","10/2010",2010-10-01,"Human","Homo sapiens","China","genomic RNA",11720,0.976666666666667,">90%","Asia","China+"
"220","GD139","Chikungunya virus","HQ846358","11730","-N/A-","10/2010",2010-10-01,"Human","Homo sapiens","China","genomic RNA",11730,0.9775,">90%","Asia","China+"
"221","GD115","Chikungunya virus","HQ846356","11746","-N/A-","10/2010",2010-10-01,"Human","Homo sapiens","China","genomic RNA",11746,0.978833333333333,">90%","Asia","China+"
"222","GD134","Chikungunya virus","HQ846359","11725","-N/A-","10/2010",2010-10-01,"Human","Homo sapiens","China","genomic RNA",11725,0.977083333333333,">90%","Asia","China+"
"223","DG894","Chikungunya virus","JQ065888","11629","-N/A-","10/2010",2010-10-01,"Human","Homo sapiens","China","genomic RNA",11629,0.969083333333333,">90%","Asia","China+"
"224","DG891","Chikungunya virus","JQ065885","11624","-N/A-","10/2010",2010-10-01,"Human","Homo sapiens","China","genomic RNA",11624,0.968666666666667,">90%","Asia","China+"
"225","GZ1029","Chikungunya virus","JQ065891","11687","-N/A-","10/2010",2010-10-01,"Human","Homo sapiens","China","genomic RNA",11687,0.973916666666667,">90%","Asia","China+"
"226","DG893","Chikungunya virus","JQ065887","11624","-N/A-","10/2010",2010-10-01,"Human","Homo sapiens","China","genomic RNA",11624,0.968666666666667,">90%","Asia","China+"
"227","GZ0991","Chikungunya virus","JQ065890","11684","-N/A-","10/2010",2010-10-01,"Human","Homo sapiens","China","genomic RNA",11684,0.973666666666667,">90%","Asia","China+"
"228","GZ3626","Chikungunya virus","JQ065892","11153","-N/A-","10/2010",2010-10-01,"Human","Homo sapiens","China","genomic RNA",11153,0.929416666666667,">90%","Asia","China+"
"229","DG895","Chikungunya virus","JQ065889","11628","-N/A-","10/2010",2010-10-01,"Human","Homo sapiens","China","genomic RNA",11628,0.969,">90%","Asia","China+"
"230","DG892","Chikungunya virus","JQ065886","11624","-N/A-","10/2010",2010-10-01,"Human","Homo sapiens","China","genomic RNA",11624,0.968666666666667,">90%","Asia","China+"
"231","IND-11-DEL01","Chikungunya virus","KU365290","7418","-N/A-","40544",2011-01-01,"Unknown","-N/A-","India","genomic RNA",7418,0.618166666666667,"50-90%","Asia","India+"
"232","BRAZZA_MRS1","Chikungunya virus","KP003813","11268","-N/A-","40544",2011-01-01,"Human","Homo sapiens","Republic of the Congo","genomic RNA",11268,0.939,">90%","Africa","Western Africa"
"233","Bali 2011","Chikungunya virus","MF773561","12013","-N/A-","40544",2011-01-01,"Human","Homo sapiens","Indonesia","genomic RNA",12013,1.00108333333333,">90%","Asia","Indonesia+"
"234","Borneo 2011","Chikungunya virus","MF773567","11811","-N/A-","40544",2011-01-01,"Human","Homo sapiens","Brunei","genomic RNA",11811,0.98425,">90%","Asia","Southeastern Asia"
"235","Yem-11","Chikungunya virus","KC614648","11778","-N/A-","01/25/2011",2011-01-25,"Mosquito","Aedes aegypti (mosquito)","Yemen","genomic RNA",11778,0.9815,">90%","Asia","Middle East"
"236","NC/2011-568","Chikungunya virus","HE806461","11621","-N/A-","02/28/2011",2011-02-28,"Human","Homo sapiens","New Caledonia","genomic RNA",11621,0.968416666666667,">90%","Australia","Oceania"
"237","V0603308_KH11_BTB","Chikungunya virus","JQ861259","11113","-N/A-","05/26/2011",2011-05-26,"Human","Homo sapiens","Cambodia","genomic RNA",11113,0.926083333333333,">90%","Asia","Southeastern Asia"
"238","V0603310_KH11_BTB","Chikungunya virus","JQ861260","11743","-N/A-","05/28/2011",2011-05-28,"Human","Homo sapiens","Cambodia","genomic RNA",11743,0.978583333333333,">90%","Asia","Southeastern Asia"
"239","V1024306_KH11_PVH","Chikungunya virus","JQ861253","11745","-N/A-","08/16/2011",2011-08-16,"Human","Homo sapiens","Cambodia","genomic RNA",11745,0.97875,">90%","Asia","Southeastern Asia"
"240","V1024310_KH11_PVH","Chikungunya virus","JQ861255","11736","-N/A-","08/16/2011",2011-08-16,"Human","Homo sapiens","Cambodia","genomic RNA",11736,0.978,">90%","Asia","Southeastern Asia"
"241","V1024314_KH11_PVH","Chikungunya virus","JQ861258","11733","-N/A-","08/16/2011",2011-08-16,"Human","Homo sapiens","Cambodia","genomic RNA",11733,0.97775,">90%","Asia","Southeastern Asia"
